time,baro_altitude,accl_x,accl_y,accl_z,gps_altitude,gyro_roll,gyro_pitch,gyro_yaw,flight_id
0.0,0.017147126156199264,-6.4829382977985155,-2.0844231623176124,-1.8374224790099016,0.0,0.0,0.0,0.0,11_standardized
0.05,-0.04510970185229476,-9.93383868546123,-3.253783964489613,-2.800497057537608,0.0,0.0,0.0,0.0,11_standardized
0.1,-0.05838655534815705,-8.89176942991808,-2.9067105272167475,-2.4350819170201934,0.0,0.0,0.0,0.0,11_standardized
0.15,-0.04151304963821701,-9.48604928447875,-3.1572070381277677,-2.6277790433366586,0.0,0.0,0.0,0.0,11_standardized
0.2,-0.03756833910178002,-9.138071563225857,-3.0316458614036494,-2.5197165969530317,0.0,0.0,0.0,0.0,11_standardized
0.25,-0.08199214354201528,-9.35191990475253,-3.043246492356702,-2.6341134142069267,0.0,0.0,0.0,0.0,11_standardized
0.3,-0.09678623792084064,-9.218014872648688,-3.012023843150293,-2.597924443940204,0.0,0.0,0.0,0.0,11_standardized
0.35,-0.01576971352509527,-9.338152180829864,-2.989743344549059,-2.6506088586116325,0.0,0.0,0.0,0.0,11_standardized
0.4,-0.03424687645115832,-9.319800542475836,-2.9636644537580246,-2.653615623597468,0.0,0.0,0.0,0.0,11_standardized
0.45,-0.1514580891085521,-9.298270335937104,-3.0436561664921196,-2.5988979671249273,0.0,0.0,0.0,0.0,11_standardized
0.5,-0.022565348681237687,-9.321004704818373,-3.011541958036065,-2.5658931054450327,0.0,0.0,0.0,0.0,11_standardized
0.55,0.12778607761214664,-9.247820587729256,-3.1142100598124567,-2.6020193839571006,0.0,0.0,0.0,0.0,11_standardized
0.6,0.22270234725600374,-9.195208503314399,-3.0407160581564443,-2.522382647221246,0.0,0.0,0.0,0.0,11_standardized
0.65,-0.0031515276801571766,-9.29339851715667,-3.0245090514846704,-2.56578165383384,0.0,0.0,0.0,0.0,11_standardized
0.7,-0.06495647937081475,-9.240142016378062,-3.0543924414430133,-2.5232818145869502,0.0,0.0,0.0,0.0,11_standardized
0.75,-0.07695244172742324,-9.287957457733128,-2.9544459477571405,-2.5361096056167893,0.0,0.0,0.0,0.0,11_standardized
0.8,-0.11745765794347741,-9.31447428756336,-2.9265095898663875,-2.6636925517249743,0.0,0.0,0.0,0.0,11_standardized
0.85,-0.11941139702231217,-9.259666018129652,-2.9150940222166044,-2.5927928986841597,0.0,0.0,0.0,0.0,11_standardized
0.9,0.07423848279296785,-9.293291735517286,-2.9979035617841814,-2.6276255258862933,0.0,0.0,0.0,0.0,11_standardized
0.95,-0.07691998712498124,-9.276447661700347,-2.9878631136917133,-2.623669472153835,0.0,0.0,0.0,0.0,11_standardized
1.0,-0.1789455697515831,-9.277511201979063,-3.0033568879363854,-2.550614276670694,0.0,0.0,0.0,0.0,11_standardized
1.05,-0.07105471273674488,-9.267799662135277,-3.095934221140002,-2.5354682346515154,0.0,0.0,0.0,0.0,11_standardized
1.1,0.007606218489171916,-9.213075425088164,-3.025037782266401,-2.560583913536405,0.0,0.0,0.0,0.0,11_standardized
