time,baro_altitude,accl_x,accl_y,accl_z,gps_altitude,gyro_roll,gyro_pitch,gyro_yaw,flight_id
0.0,-0.034152359990684056,-6.3285815239215415,-2.929712857256675,-1.0515458732607086,0.0,0.0,0.0,0.0,flightsketch4_standardized
0.05,0.3022546711086039,-9.761798202475443,-4.546395590398976,-1.610167697429129,0.0,0.0,0.0,0.0,flightsketch4_standardized
0.1,0.22117614810012276,-8.701717543913984,-4.039053330263069,-1.4209477910675445,0.0,0.0,0.0,0.0,flightsketch4_standardized
0.15,0.37106096189071447,-9.347852099810883,-4.366503392864767,-1.5331300644352004,0.0,0.0,0.0,0.0,flightsketch4_standardized
0.2,0.4928337179916582,-9.007703864402732,-4.229638288041336,-1.3897977877002303,0.0,0.0,0.0,0.0,flightsketch4_standardized
0.25,0.4221973209425181,-9.139929010431574,-4.312490324341628,-1.5015591917392597,0.0,0.0,0.0,0.0,flightsketch4_standardized
0.3,0.2642653239023919,-9.049965742594557,-4.222073638128598,-1.537373922195901,0.0,0.0,0.0,0.0,flightsketch4_standardized
0.35,0.13634592687294186,-9.112925891813752,-4.242869343157191,-1.4110651127642653,0.0,0.0,0.0,0.0,flightsketch4_standardized
0.4,0.1278448802003222,-9.097266438758773,-4.212947970392661,-1.3996196291742111,0.0,0.0,0.0,0.0,flightsketch4_standardized
0.45,0.069829829755831,-9.086346415141263,-4.209090564594735,-1.5184296451883759,0.0,0.0,0.0,0.0,flightsketch4_standardized
0.5,0.13304899775638337,-9.095220444143685,-4.207847236458678,-1.4641234859454269,0.0,0.0,0.0,0.0,flightsketch4_standardized
0.55,0.3323932212027969,-9.04291522267783,-4.201401643289224,-1.5281711184318152,0.0,0.0,0.0,0.0,flightsketch4_standardized
0.6,0.37909908701877526,-9.03601646217071,-4.176539530839394,-1.4486550938126488,0.0,0.0,0.0,0.0,flightsketch4_standardized
0.65,0.20761028105048285,-9.084864385704638,-4.239983379262419,-1.4921404832199259,0.0,0.0,0.0,0.0,flightsketch4_standardized
0.7,0.24291637764776738,-9.116196925826582,-4.236419891562202,-1.490944053923542,0.0,0.0,0.0,0.0,flightsketch4_standardized
