time,baro_altitude,accl_x,accl_y,accl_z,gps_altitude,gyro_roll,gyro_pitch,gyro_yaw,At,T,P,rho,a
0.0,0.3552162278558943,-5.5387303971140005,-2.8123767208759722,1.6532053629900614,0.0,0.0,0.0,0.0,6.428070099513446,288.1476910945189,101320.73276553767,1.224970490936676,340.2909235053946
0.05,-0.014070209724356086,-8.78658329723486,-4.508773900424438,2.2941081228154836,0.0,0.0,0.0,0.0,10.138837221474818,288.15,101325.0,1.2250122659906946,340.29228686527705
0.1,-0.15767167096425472,-8.110838365401554,-4.220303013813183,1.8638494833620098,0.0,0.0,0.0,0.0,9.331162382827728,288.15,101325.0,1.2250122659906946,340.29228686527705
0.15,0.1942815319103971,-9.304825144649877,-5.205829159216375,1.2219399047023694,0.0,0.0,0.0,0.0,10.731894769245555,288.1487371700426,101322.66606593985,1.2249894174583904,340.2915411915568
0.2,0.13450886727357608,-8.924218773650825,-5.09207080148567,1.1387667184219255,0.0,0.0,0.0,0.0,10.337681336078715,288.1491256923627,101323.38411955899,1.2249964470041192,340.29177060574034
0.25,-0.27856925698433477,-8.692330298791738,-4.633663508578673,1.6601557321722062,0.0,0.0,0.0,0.0,9.989172167356548,288.15,101325.0,1.2250122659906946,340.29228686527705
0.3,0.500011837202393,-8.428532092005232,-4.461299262450671,1.7752793755230767,0.0,0.0,0.0,0.0,9.700255728395133,288.14674992305817,101318.9933686977,1.224953462623049,340.2903677619738
0.35,-0.20752046144692088,-8.054999221905565,-3.9965369709523237,2.2419769895369783,0.0,0.0,0.0,0.0,9.267242364732958,288.15,101325.0,1.2250122659906946,340.29228686527705
0.4,0.119817752309141,-8.857023908747513,-4.868542873764542,1.3112899955527093,0.0,0.0,0.0,0.0,10.191617324362468,288.14922118461,101323.56060568422,1.2249981747528733,340.2918269918618
0.45,-0.32837956034712307,-8.345478901523716,-4.306578039042074,1.9099621046934385,0.0,0.0,0.0,0.0,9.583401679127403,288.15,101325.0,1.2250122659906946,340.29228686527705
0.5,-0.07787483924248143,-8.134922887041835,-4.067735497347437,2.2372028340470917,0.0,0.0,0.0,0.0,9.36635035513651,288.15,101325.0,1.2250122659906946,340.29228686527705
0.55,-0.37979695281214043,-8.14575884137145,-4.170272079855527,2.172953766273323,0.0,0.0,0.0,0.0,9.405651726072207,288.15,101325.0,1.2250122659906946,340.29228686527705
0.6,0.08395723856815385,-8.703901842792694,-4.693326280164223,1.6634599371514032,0.0,0.0,0.0,0.0,10.027577864248073,288.1494542779493,101323.99140338009,1.2250023921368571,340.2919646284342
0.65,-0.09486972762752893,-8.087636872306753,-4.188008015054165,2.1290859630393033,0.0,0.0,0.0,0.0,9.353196691530906,288.15,101325.0,1.2250122659906946,340.29228686527705
0.7,-0.2987743326048429,-8.680962473074139,-4.588370248523625,1.6329864927045974,0.0,0.0,0.0,0.0,9.953838248726663,288.15,101325.0,1.2250122659906946,340.29228686527705
0.75,0.10853595202246957,-8.225094240382028,-4.221228143904169,2.056202091831593,0.0,0.0,0.0,0.0,9.470950815441228,288.14929451631184,101323.69613547246,1.2249995015503985,340.29187029265074
0.8,0.07238283406515808,-7.768416543124523,-3.786502466799277,2.4755121388018684,0.0,0.0,0.0,0.0,8.989663890709329,288.1495295115786,101324.13044874287,1.2250037533497369,340.2920090522522
0.85,0.2039798014262887,-9.623980929277506,-5.626323744905608,0.7013237297910193,0.0,0.0,0.0,0.0,11.169976847941708,288.1486741312907,101322.54956027048,1.2249882768993146,340.2915039684973
0.9,0.12711273695527042,-7.411745466855783,-3.411258507482917,2.7818023360797746,0.0,0.0,0.0,0.0,8.620271440468143,288.1491737672098,101323.47297012802,1.2249973168258819,340.29179899290637
0.95,-0.1437770971902925,-8.249700220451938,-4.2850714376427215,1.9931205419554094,0.0,0.0,0.0,0.0,9.507466563064572,288.15,101325.0,1.2250122659906946,340.29228686527705
1.0,-0.21203560113773176,-9.003190350208204,-5.000799007245198,1.2899133297926346,0.0,0.0,0.0,0.0,10.379272787210258,288.15,101325.0,1.2250122659906946,340.29228686527705
